Team,ElO
,
Netherlands,2235.973
Senegal,2114.868
Ecuador,1617.913
Qatar,1610
,
United States,1893.064
Wales,1851.411
England,2439.379
Iran,1961.883
,
Argentina,2210.645
Poland,1946.237
Mexico,1948.672
Saudi Arabia,1752.192
,
France,2265.931
Australia,1667.45
Tunisia,1886.111
Denmark,2262.284
,
Spain,2130.543
Japan,1865.669
Costa Rica,1713.267
Germany,2294.081
,
Croatia,2097.307
Morocco,2113.5
Belgium,2400.877
Canada,1801.429
,
Brazil,2410.275
Switzerland,2100.84
Cameroon,1876.279
Serbia,1995.475
,
Portugal,2078.534
Ghana,1684.228
Uruguay,1777.16
South Korea,1900.037
